Địa phương,Năm,Giá trị
Bình Định,2023,6.0215
Bạc Liêu,2023,6.030766666666667
Bắc Giang,2023,5.236533333333333
Bắc Kạn,2023,4.6778699999999995
Bắc Ninh,2023,7.819416666666666
Bến Tre,2023,5.7576
Cao Bằng,2023,3.864503333333333
Cà Mau,2023,6.018253333333334
Gia Lai,2023,5.818723333333334
Hà Giang,2023,5.063950000000001
Hà Nam,2023,6.7165
Hà Tĩnh,2023,5.913889999999999
Hòa Bình,2023,5.9841999999999995
Hưng Yên,2023,6.717983333333334
Hải Dương,2023,5.871566666666667
Hậu Giang,2023,5.280576666666666
Khánh Hòa,2023,5.530476666666667
Kiên Giang,2023,5.423836666666666
Kon Tum,2023,6.3226
Lai Châu,2023,5.329433333333332
Long An,2023,5.5483166666666675
Lào Cai,2023,5.760113333333333
Lâm Đồng,2023,6.704556666666667
Nam Định,2023,7.2431
Nghệ An,2023,6.84354
Ninh Bình,2023,6.0652
Ninh Thuận,2023,5.51875
Phú Thọ,2023,6.72895
Phú Yên,2023,5.466483333333334
Quảng Bình,2023,5.486383333333333
Quảng Nam,2023,5.6917
Quảng Ngãi,2023,5.656953333333333
Quảng Ninh,2023,4.825986666666667
Quảng Trị,2023,5.305136666666667
Sóc Trăng,2023,5.55691
Sơn La,2023,4.777613333333333
Thanh Hóa,2023,6.641343333333333
Thái Bình,2023,6.007766666666666
Thái Nguyên,2023,5.85275
Thừa Thiên - Huế,2023,5.918206666666667
Tiền Giang,2023,6.380756666666667
Trà Vinh,2023,5.231866666666667
Tuyên Quang,2023,6.3154666666666675
Tây Ninh,2023,5.52746
Vĩnh Long,2023,5.57452
Vĩnh Phúc,2023,7.395833333333334
Yên Bái,2023,6.673700000000001
Điện Biên,2023,4.756383333333333
Đắk Lắk,2023,4.962869999999999
Đắk Nông,2023,5.020893333333333
Đồng Nai,2023,5.849316666666668
Đồng Tháp,2023,6.220903333333333
