Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Nghệ An,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.1814986666666665,3291.4,199.7,"0,665","0,683","0,812","0,59",4.733901054339011
Nghệ An,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.213115,3337.2,202.0,"0,662","0,686","0,814","0,6",5.354555052790347
Nghệ An,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.205852,3365.2,204.0,"0,669","0,696","0,817","0,617",6.15038374717833
Nghệ An,2021,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.125529,3409.81,207.0,nan,nan,nan,nan,7.954773333333333
Nghệ An,2022,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.1814986666666665,3419.99,207.0,nan,nan,nan,nan,7.126423892100193
Nghệ An,2023,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,nan,nan,nan,nan,nan,nan,7.331638225255973
Hà Tĩnh,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.105752,1280.5,213.75,"0,664","0,703","0,811","0,646",4.827647058823529
Hà Tĩnh,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.159357,1290.3,215.0,"0,671","0,712","0,812","0,662",5.230341777241656
Hà Tĩnh,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.960699,1296.62,216.0,"0,668","0,713","0,809","0,67",5.970959655307482
Hà Tĩnh,2021,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.04808025,1314.06,219.0,nan,nan,nan,nan,6.5514302741358765
Hà Tĩnh,2022,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.966513,1323.75,221.0,nan,nan,nan,nan,6.583092422251423
Hà Tĩnh,2023,Vùng Bắc Trung Bộ và duyên hải miền Trung,nan,nan,nan,nan,nan,nan,nan,6.673166447079489
Quảng Bình,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.027806,891.1,111.39,"0,639","0,676","0,811","0,597",4.370982304080895
Quảng Bình,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.4973176666666667,896.6,112.0,"0,645","0,681","0,802","0,612",4.220165945165945
Quảng Bình,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.772024,901.98,113.0,"0,652","0,69","0,81","0,622",5.018444683908046
