Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Hà Tĩnh,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.105752,1280.5,213.75,0.664,0.703,0.811,0.646,4.827647058823529
Hà Tĩnh,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.159357,1290.3,215.0,0.671,0.712,0.812,0.662,5.230341777241656
Hà Tĩnh,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.960699,1296.62,216.0,0.668,0.713,0.809,0.67,5.970959655307482
Quảng Bình,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.027806,891.1,111.39,0.639,0.676,0.811,0.597,4.370982304080895
Quảng Bình,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.4973176666666667,896.6,112.0,0.645,0.681,0.802,0.612,4.220165945165945
Quảng Bình,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.772024,901.98,113.0,0.652,0.69,0.81,0.622,5.018444683908046
Quảng Trị,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.541708,629.7,136.25,0.621,0.659,0.742,0.621,4.681811432813661
Quảng Trị,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.605088,633.4,137.0,0.62,0.664,0.743,0.636,5.026118827160494
Quảng Trị,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.424106,637.39,136.0,0.626,0.671,0.741,0.65,5.684709480122325
Đà Nẵng,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,0.997468,1114.4,867.3,0.745,0.773,0.862,0.719,4.884772818657016
Đà Nẵng,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.170701,1141.1,888.0,0.775,0.788,0.863,0.731,5.093550000000001
